epochs,learning_rate,weight_decay,test_acc
10,0.001,0.0,0.34387483355525966
10,0.001,0.0001,0.2336884154460719
10,0.001,0.0005,0.06657789613848203
10,0.0005,0.0,0.3055925432756325
10,0.0005,0.0001,0.36384820239680427
10,0.0005,0.0005,0.06657789613848203
10,0.0001,0.0,0.2623169107856192
10,0.0001,0.0001,0.27796271637816244
10,0.0001,0.0005,0.06657789613848203
